SEASON;TEAM_NAME;GP;W;L;W_PCT;MIN;FGM;FGA;FG_PCT;FG3M;FG3A;FG3_PCT;FTM;FTA;FT_PCT;OREB;DREB;REB;AST;TOV;STL;BLK;BLKA;PF;PFD;PTS;PLUS_MINUS;OFF_RATING;DEF_RATING;NET_RATING;AST_PCT;AST_TO;AST_RATIO;OREB_PCT;DREB_PCT;REB_PCT;TM_TOV_PCT;EFG_PCT;TS_PCT;PACE;POSS;PIE
2016-17;Utah Jazz;82;51;31;0.622;3951.0;37.0;79.5;0.466;9.6;26.0;0.372;17.1;22.9;0.747;9.4;33.8;43.2;20.1;13.6;6.7;5.0;3.8;18.8;20.2;100.7;3.9;109.0;104.7;4.3;0.544;1.48;16.2;0.27;0.743;0.514;0.148;0.526;0.563;92.09;7579;0.534
2016-17;Washington Wizards;82;49;33;0.598;3971.0;41.3;87.0;0.475;9.2;24.8;0.372;17.3;22.1;0.784;10.3;32.6;42.9;23.9;14.2;8.5;4.1;4.6;21.3;19.8;109.2;1.8;110.4;108.8;1.7;0.577;1.68;17.6;0.286;0.716;0.501;0.143;0.528;0.564;97.94;8109;0.511
2017-18;Atlanta Hawks;82;24;58;0.293;3941.0;38.2;85.5;0.446;11.2;31.0;0.36;15.8;20.2;0.785;9.1;32.8;41.9;23.7;15.5;7.8;4.2;5.5;19.6;20.3;103.4;-5.5;104.4;110.1;-5.7;0.622;1.53;17.6;0.263;0.719;0.489;0.157;0.512;0.547;98.76;8114;0.468
2017-18;Boston Celtics;82;55;27;0.671;3961.0;38.3;85.1;0.45;11.5;30.4;0.377;16.0;20.7;0.771;9.4;35.1;44.5;22.5;14.0;7.4;4.5;4.4;19.7;19.2;104.0;3.6;106.8;103.2;3.6;0.586;1.6;17.0;0.263;0.739;0.504;0.144;0.518;0.552;96.75;7987;0.519
2017-18;Brooklyn Nets;82;28;54;0.341;3971.0;38.2;86.8;0.441;12.7;35.7;0.356;17.4;22.6;0.772;9.7;34.8;44.4;23.7;15.2;6.2;4.8;5.5;20.6;19.7;106.6;-3.7;106.1;109.7;-3.6;0.619;1.56;17.3;0.251;0.731;0.489;0.151;0.514;0.551;99.66;8238;0.474
2017-18;Charlotte Hornets;82;36;46;0.439;3956.0;39.0;86.7;0.45;10.0;27.2;0.369;20.2;27.0;0.747;10.1;35.4;45.5;21.6;12.7;6.8;4.5;4.9;17.2;22.4;108.2;0.3;109.0;109.0;-0.1;0.554;1.7;16.1;0.271;0.763;0.512;0.128;0.508;0.549;98.66;8143;0.5
2017-18;Chicago Bulls;82;27;55;0.329;3971.0;38.7;88.8;0.435;11.0;31.1;0.355;14.6;19.2;0.759;9.6;35.0;44.7;23.5;14.0;7.6;3.5;5.2;19.2;17.4;102.9;-7.0;103.4;110.5;-7.0;0.607;1.68;17.3;0.256;0.767;0.5;0.141;0.497;0.529;98.65;8160;0.453
2017-18;Cleveland Cavaliers;82;50;32;0.61;3946.0;40.4;84.8;0.476;12.0;32.1;0.372;18.1;23.3;0.779;8.5;33.7;42.1;23.4;13.7;7.1;3.8;4.1;18.6;20.7;110.9;0.9;112.0;111.1;1.0;0.579;1.7;17.5;0.243;0.73;0.492;0.139;0.547;0.584;98.72;8114;0.502
2017-18;Dallas Mavericks;82;24;58;0.293;3961.0;38.1;85.9;0.444;11.8;32.8;0.36;14.2;18.7;0.763;8.1;33.1;41.3;22.7;12.3;7.0;3.8;4.5;19.2;19.6;102.3;-3.0;105.4;108.4;-2.9;0.594;1.85;17.3;0.224;0.749;0.478;0.127;0.513;0.544;96.53;7959;0.475
2017-18;Denver Nuggets;82;46;36;0.561;3976.0;40.7;86.6;0.47;11.5;30.9;0.371;17.1;22.3;0.767;11.0;33.5;44.5;25.1;15.0;7.6;4.9;4.8;18.7;20.7;110.0;1.5;111.4;110.0;1.4;0.617;1.68;18.2;0.3;0.736;0.517;0.151;0.536;0.57;97.69;8095;0.511
2017-18;Detroit Pistons;82;39;43;0.476;3961.0;39.1;86.9;0.45;10.8;28.9;0.373;14.7;19.8;0.745;10.1;33.6;43.7;22.8;13.4;7.7;3.9;4.9;18.4;18.4;103.8;-0.1;106.6;106.7;-0.1;0.582;1.7;17.1;0.269;0.74;0.499;0.138;0.512;0.543;96.75;7981;0.489
2017-18;Golden State Warriors;82;58;24;0.707;3946.0;42.8;85.1;0.503;11.3;28.9;0.391;16.6;20.3;0.815;8.4;35.1;43.5;29.3;15.4;8.0;7.5;3.7;19.6;18.5;113.5;6.0;112.8;106.8;5.9;0.685;1.9;20.9;0.243;0.712;0.497;0.153;0.569;0.603;100.35;8251;0.554
2017-18;Houston Rockets;82;65;17;0.793;3951.0;38.7;84.2;0.46;15.3;42.3;0.362;19.6;25.1;0.781;9.0;34.5;43.5;21.5;13.8;8.5;4.8;4.4;19.5;20.4;112.4;8.5;114.1;105.7;8.4;0.557;1.56;16.4;0.254;0.75;0.503;0.141;0.551;0.59;98.02;8078;0.531
2017-18;Indiana Pacers;82;48;34;0.585;3951.0;40.8;86.4;0.472;9.0;24.5;0.369;14.9;19.2;0.779;9.6;32.7;42.3;22.2;13.3;8.8;4.1;5.2;18.8;18.5;105.6;1.4;108.5;107.3;1.3;0.544;1.67;16.8;0.271;0.721;0.496;0.136;0.525;0.557;96.84;7977;0.509
2017-18;LA Clippers;82;42;40;0.512;3941.0;40.3;85.4;0.471;9.5;26.8;0.354;19.0;25.5;0.743;10.1;33.7;43.9;22.3;14.7;7.7;4.5;5.6;20.0;22.0;109.0;0.0;109.4;109.2;0.2;0.555;1.52;16.5;0.284;0.718;0.504;0.147;0.527;0.564;99.54;8167;0.497
